ID,alias,vbw,n_vecs,Elapsed Cycles (cycle),Kernel Name,Block Size,Grid Size,Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),SM Active Cycles (cycle),Compute (SM) Throughput (%),Registers Per Thread (register/thread),Threads (thread),Waves Per SM (),Block Limit SM (block),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit Warps (block),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Achieved Occupancy (%),Achieved Active Warps Per SM (warp)
32,bp-1v,32,125000,762186,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",99.51,99.51,26.66,34.40,750212.69,78.02,29,4000000,24.41,32,32,32,32,64,100,97.03,62.10
0,bp-4v,0,125000,197092,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",25.94,3.00,26.21,1.07,194494.45,87.04,30,1000000,6.10,32,32,32,32,64,100,89.40,57.22
1,bp-4v,1,125000,201108,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",25.67,13.58,26.10,4.11,195310.48,86.14,30,1000000,6.10,32,32,32,32,64,100,89.70,57.40
2,bp-4v,2,125000,201043,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",25.62,25.50,26.13,8.20,195113.11,85.98,30,1000000,6.10,32,32,32,32,64,100,89.83,57.49
3,bp-4v,3,125000,210182,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",35.38,35.38,26.53,11.80,203947.42,86.11,30,1000000,6.10,32,32,32,32,64,100,89.69,57.40
4,bp-4v,4,125000,201755,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",48.92,48.92,26.03,16.44,195768.19,86.28,30,1000000,6.10,32,32,32,32,64,100,89.63,57.36
5,bp-4v,5,125000,218691,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",56.23,56.23,27.00,19.06,211975.42,85.25,30,1000000,6.10,32,32,32,32,64,100,89.94,57.56
6,bp-4v,6,125000,217898,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",67.26,67.26,26.98,23.13,212074.79,85.72,30,1000000,6.10,32,32,32,32,64,100,89.51,57.29
7,bp-4v,7,125000,229651,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",73.95,73.95,27.29,26.12,221125.95,84.65,30,1000000,6.10,32,32,32,32,64,100,89.55,57.31
8,bp-4v,8,125000,214313,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",92.29,92.29,27.92,35.07,204653.71,81.67,30,1000000,6.10,32,32,32,32,64,100,88.95,56.93
9,bp-4v,9,125000,250993,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",88.42,88.42,27.09,33.72,238066.01,80.99,30,1000000,6.10,32,32,32,32,64,100,88.28,56.50
10,bp-4v,10,125000,264996,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",92.72,92.72,30.42,38.00,251610.60,76.74,30,1000000,6.10,32,32,32,32,64,100,87.70,56.13
11,bp-4v,11,125000,290202,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",93.05,93.05,30.31,37.85,275869.31,72.56,30,1000000,6.10,32,32,32,32,64,100,87.63,56.08
12,bp-4v,12,125000,308138,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",94.70,94.70,31.53,39.58,295010.60,65.80,30,1000000,6.10,32,32,32,32,64,100,88.29,56.51
13,bp-4v,13,125000,337631,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",93.18,93.18,30.78,38.89,324347.38,63.40,30,1000000,6.10,32,32,32,32,64,100,88.17,56.43
14,bp-4v,14,125000,360882,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",94.17,94.17,31.51,39.66,345912.66,59.88,30,1000000,6.10,32,32,32,32,64,100,88.81,56.84
15,bp-4v,15,125000,383808,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",94.57,94.57,31.62,39.88,369091.53,57.97,30,1000000,6.10,32,32,32,32,64,100,88.71,56.77
16,bp-4v,16,125000,394101,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",98.59,98.59,35.28,44.57,379629.74,44.50,30,1000000,6.10,32,32,32,32,64,100,91.21,58.37
17,bp-4v,17,125000,430004,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",94.70,94.70,32.13,41.09,419302.03,52.77,30,1000000,6.10,32,32,32,32,64,100,89.52,57.29
18,bp-4v,18,125000,452827,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",95.63,95.63,32.94,41.90,439401.41,50.31,30,1000000,6.10,32,32,32,32,64,100,90.30,57.79
19,bp-4v,19,125000,477238,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",95.34,95.34,32.71,41.76,464703.30,49.04,30,1000000,6.10,32,32,32,32,64,100,90.58,57.97
20,bp-4v,20,125000,496326,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",96.78,96.78,34.02,43.34,482366.14,46.00,30,1000000,6.10,32,32,32,32,64,100,91.23,58.39
21,bp-4v,21,125000,522183,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",96.25,96.25,33.37,42.62,508626.44,46.06,30,1000000,6.10,32,32,32,32,64,100,91.26,58.41
22,bp-4v,22,125000,542961,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",96.84,96.84,33.90,43.53,529719.66,44.31,30,1000000,6.10,32,32,32,32,64,100,91.68,58.67
23,bp-4v,23,125000,566233,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",96.58,96.58,33.69,43.30,555101.05,43.61,30,1000000,6.10,32,32,32,32,64,100,91.86,58.79
24,bp-4v,24,125000,583542,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",98.63,98.63,35.24,45.04,568414.86,39.01,30,1000000,6.10,32,32,32,32,64,100,92.67,59.31
25,bp-4v,25,125000,612300,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",97.47,97.47,34.12,43.69,598107.50,41.61,30,1000000,6.10,32,32,32,32,64,100,92.53,59.22
26,bp-4v,26,125000,627631,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",97.70,97.70,34.81,44.93,617961.66,40.22,30,1000000,6.10,32,32,32,32,64,100,92.72,59.34
27,bp-4v,27,125000,657206,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",98.11,98.11,34.59,44.30,642077.45,39.67,30,1000000,6.10,32,32,32,32,64,100,92.89,59.45
28,bp-4v,28,125000,676127,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",98.61,98.61,35.44,45.51,662515.89,37.45,30,1000000,6.10,32,32,32,32,64,100,93.08,59.57
29,bp-4v,29,125000,704021,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",98.07,98.07,35.04,44.95,687259.61,38.06,30,1000000,6.10,32,32,32,32,64,100,93.28,59.70
30,bp-4v,30,125000,723303,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",98.37,98.37,35.71,45.93,709214.64,36.77,30,1000000,6.10,32,32,32,32,64,100,93.33,59.73
31,bp-4v,31,125000,747801,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",98.67,98.67,35.77,45.95,732070.01,36.61,30,1000000,6.10,32,32,32,32,64,100,93.43,59.80
32,bp-4v,32,125000,770379,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 4, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 4>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",99.44,99.44,26.74,45.73,747831.50,22.52,30,1000000,6.10,32,32,32,32,64,100,97.05,62.11
